Heading,Para
How will COVID-19 affect the world of work?,"All in all, the global outbreak of COVID-19 has ushered in a slew of radical changes to how work is perceived in the grand scheme of things. 2020 will go down in history books as the year that shook the very fundamentals of the world of work!"
Coronavirus: Effect on the Hospitality Industry,"Really this is anyone’s guess. We don’t yet know how long it will take for the epidemic to peak and for us to be allowed out again, but one thing I am sure of is that we’ll all be desperate to meet up with friends over dinner or have a pint in the pub! With proper support from the government I think the hospitality industry stands a good chance of bouncing back quickly, but perhaps not in its former form. It is likely that we will see a kind of natural selection take place among restaurants, leaving space for innovative new entrants. The crisis has already forced several restaurants to innovate by developing new services and perhaps, if regulation allows, these will stick, becoming new models for restaurants in the future and offering them a more diverse and resilient set of revenue streams. Thus Coronavirus Effect on the Hospitality and other sectors."
Estimating the impact of COVID-19 on the world of work,"STAY SAFE, STAY TOGETHER AND DEVELOP YOUR COMPANY FURTHER!"
COVID-19: How have countries been responding?,"This is the time to be prudent and try to remain optimistic as is illuminated by Charlie Munger,-“I would ……when the worst typhoon that’s ever happened comes. We just want to get through typhoon and we’d rather come out it with a whole lot of liquidity. …”"
How will COVID-19 affect the world of work?,"this finger is eagle to the total focal budget of the movement of India of 2015 and India estimate COVID 19 costs the 3 crore people jobless in India so imagine where we are going but still, we have hope to get well soon because we know when to work or when to stop us. My last opinion state work of word today affected but after some time we will at the same path where we in the past it just need some afford."
Lessons from the past: Some key learnings relevant to the coronavirus crisis,"We are much better equipped than what we were 100 years ago, and at the same time, somewhat under-equipped to deal with it. But these lessons from the various similar crises that humanity has faced and risen from, act as a glimmer of hope in these dire times, and if put to good use, can aid in the fight against COVID-19. In the words of Howard Markel, “There’s never been a better time in human history to have a pandemic than today, with the exception of next week or a month later. You want to kick that can down the road, but it’s here today.”"
Lessons from the past: Some key learnings relevant to the coronavirus crisis,
Coronavirus: Impact on the Hospitality Industry,"Spreading the impact, almost all tourism allied industries and jobs are suffering. Because, tourism has always had a history of continued growth and resilience."
Why scams like Nirav Modi Happen with Indian banks?,"As seen in all the above cases for scams like Nirav Modi, the two factors: action taken by the insiders or systemic loopholes were responsible for the majority of the Indian financial scams. The improvement in the industry will only come when all the loopholes are closed down and accountability is given and held to all the people working in the industry."
IMPACT OF COVID-19 ON THE GLOBAL ECONOMY, 
Impact of coronavirus on the Indian economy,
Global Economy effected by Coronavirus,"If we estimate, it will take around 1 year to get back in a track from now and all this will happen if the government and central bank continuously come up with relief measure  "
Impact of COVID-19 (Coronavirus) on the Indian Economy,"The pandemic has appeared from nowhere as a potential death knell to the World economy which is already under stress and India is no exception. There is no second opinion that this pandemic has hit the world very hard and would continue to do so in the foreseeable future. Whether India can emerge from the medical pandemic as well as the economic pandemic relatively unscathed remains to be seen. We will have to take care of our lives as well as the livelihoods of our citizens. As Indians, we hope, we shall overcome.  Together we can do this and we will."
Should celebrities be allowed to join politics?,"From our vantage point today, the relationship between personage and politics seems to be a central fixture in society and is here to stay. What remains to be done, however, is to ensure the symbiotic course of this relationship – to scrutinize and critique the celebrities who knock the doors of politics and to secure their promises of beneficence and non-maleficence to the public that it seeks to serve. Yet, it may seem that these are benchmarks that need to be met by any and all servants of the people – celebrity or not, but in the world that we live in, this is certainly not the case. Politicians – celebrity or not, largely happen upon the sphere of governance without a lot of experience backing them and learn to navigate the maze of politics on the job. Ultimately, like all things in democracy, the government is of the people and its representatives are of them, and for them. The eventual endorsement of its leaders – celebrity or not – can come, not from data-based analyses and elaborate critique, but from the people. Should celebrities be allowed to enter politics? The question remains unanswered. Or rather, is answered by the democratic exercise itself – with the beeps of electronic ballots election after election, when the people – the real ‘influencers’, choose."
How prepared is India to tackle a possible COVID-19 outbreak?,"I am optimistically hoping, based on the ingenious and creativity of our citizens, that we tide over these tough times and fundamental changes to our healthcare system are made with this sober learning experience to prevent a repeat of what is happening today."
How will COVID-19 affect the world of work?,"The coronavirus pandemic is a test. It’s a test of medical capacity and political will. It’s a test of endurance and forbearance, for believers a test of religious faith. It’s a test, too, of a different kind of faith, in the strength of the ideas humans choose to help them form moral judgments and guide personal and social behavior. The epidemic forces everyone to confront deep questions of human existence, questions so profound that they have previously been answered, in many different ways, by the greatest philosophers. It’s a test of where all humans stand. What is right and what is wrong? What can individuals expect from society, and what can society expect of them? Should others make sacrifices for me, and vice versa? Is it just to set economic limits to fighting a deadly disease? How long will we stay that way? And as the epidemic grows worse and brings the disease within fewer degrees of separation for everyone, we may well find that the notion of loving thy neighbor as thyself becomes far more potent.At last I would like to conclude by saying that COVID-19 is something we all face as a community, and thus something that we have to solve as a community, not with weapons, but with goodwill and common efforts."
Controversy as a Marketing Strategy,"In the end, we can say that controversial marketing is a double-edged sword. On one side, it benefits the firm by increasing its reach to the masses, and making more people conscious about the brand; on the other, it puts the brand value itself at stake. So, it has to be carefully planned, and a backup measure should always be kept ready to reduce the impact in case it backfires.  Every such campaign should be thoroughly weighed in for the losses and benefits before execution."
Coronavirus: Impact on the Hospitality Industry,"All but five of the 40 occupations in this analysis fall into broad categories that were less likely than the workforce overall to work from home on average in 2018, according to the BLS American Time Use Survey. Additionally, 17 of the roles, including restaurant wait staff and table game dealers, require at least arm’s-length contact with others, based on physical proximity scores compiled by the O*NET database of occupational information. At a time when most major cities are urging residents to stay at home and practice social distancing, few jobs are more at risk than these."
Coronavirus impact on energy markets,
What are the key policies that will mitigate the impacts of COVID-19 on the world of work?,"These are the impacts of COVID-19 on the world of work. Leadership teams that continuously learn actively identify best practices, and rapidly founded mechanisms to share ideas across the organization tend to be most successful within the future. R&D teams at one leading high-tech manufacturer created a productivity target for remote work by estimating their productivity hebdomadally relative to onsite work and identifying levers to enhance it. Within four weeks, they had progressed from 50 percent to 88 percent of their baseline. As China’s workforce begins to return to offices, these lessons from a number of its leading companies help as an example of how—with the correct structure, culture, processes, and technology—working remotely can boost productivity and morale. Employees who spend less time traveling or commuting and have a much better work-life balance are likely to be happier, more motivated, and prepared to mobilize in extreme situations. Embracing remote working allows companies to define a brand new normal that drives productivity and employee satisfaction into the longer term. Alibaba launched TaoBao, by now the world’s biggest e-commerce website, while the staff was working remotely on quarantine during the 2003 SARS outbreak. For Trip.com, an overseas working experiment in 20147 established the foundations for nice customer service and versatile working culture. Hence, bringing together all the weather can enable a brand new way of working that may make your company suited the future—whatever which will hold. These are policies that will mitigate the impacts of COVID-19 on the world of work"
Marketing Drives Results With A Focus On Problems,[iii]  https://www.businesstoday.in/obamas-india-visit/nano-catches-worlds-most-powerful-mans-eyes/story/10144.html
Continued Demand for Sustainability,Blackcoffer Insights 12 | Sanjana Jose Varghese | IIM Lucknow 
Coronavirus Disease (COVID-19) Effect: The Impact and Role of Mass Media During the Pandemic,"COVID-19, coronavirus disease, mass media, health communication, prevention, intervention, social-behavioral changes"
Should people wear fabric gloves? Seeking evidence regarding the differential transfer of COVID-19 (or coronaviruses generally) between surfaces?,"Well, the risk of conducting covid19 by using gloves or not the same but the gloves remember us not to touch our eyes, mouth, and nose so don’t get infection properly if you contact an infected patient, at that time wearing gloves become a must."
Why is there a severe immunological and inflammatory explosion in those affected by sarms covid-19?,"Even soluble peptides like cathelicidins HDPs that react and are produced by cells of the epithelial tissue of the respiratory, digestive system or the skin itself, which are pro- and anti-inflammatory. and they also act as chemoattraction agents, pro-apoptosis in the case of epithelial cells and anti-apoptotic in the case of neutrophils, they are one more barrier of the innate immune system, yes, but to such an extent of producing that inflammation so severe, and that cell death in such a short time? "
What do you think is the lesson (or lessons) to be learned with Covid 19?,The most important lesson to learn is that you always need to keep a spare ventilator in your garage. Your local hospital might run out just when you need one. 
"Coronavirus, the unexpected challenge for the European union",Shortages in the human sector (i.e. medical personnel) are more difficult to tackle. 
INDUSTRIAL REVOLUTION 4.0 – PROS AND CONS, 
COVID-19 Vs Indian Economy,"Everywhere in the world, governments are recognizing that this is no time to worry about fiscal deficits. Instead, they have to do “whatever it takes’’ to come out of this extraordinary crisis.  Immediate and necessary actions are indispensable not only from the Indian government but also from every individual to prevent this health pandemic from turning furthermore into an even greater economic disaster. "
Impact of COVID-19 (Coronavirus) on the Indian Economy,
Impact of Indian Economy due to COVID-19,
Impact of newly discovered coronavirus on the Global Economy,
Ensuring growth through Insurance Technology,
Blockchain in Fintech,"Nevertheless, this technology is really fascinating and has a very broad usage through the implementation of Bitcoins and Distributed Ledger in everyday life. Once this is rolled out for customer experience, micropayments will be possible between two parties on Blockchain, just as we currently have wallets to transfer money for small purchases. The Lightning Network has a long way to go and is surely going to become the next big disruption in Fintech domain after Blockchain."
Blockchain for Payments,
The future of Investing,"This approach characterizes a complex and advancing choice boundary, outlined by the maroon form, inside which stocks are chosen to develop a portfolio. This choice boundary speaks to a steady, defensive/value locale of the outline. It may be a nonlinear locale that’s tall dimensional and advances as showcase conditions alter. Stocks inside the choice boundary tend to display protective characteristics per se, but the strategy moreover recognizes stocks that tend to have future profit pay development potential as well."
Big Data Analytics in Healthcare,"As data works on the principle of abundance instead of scarcity. So, the more data we have, the better the outcomes can be obtained. Thus, Big Data technology is clearly the digital disruptor to revolutionize the healthcare sector by consolidating the data from disparate platforms to build a 360-degree view about the human body and help the healthcare provider to generate solutions to life-threatening problems and improved healthcare opportunities."
Business Analytics In The Healthcare Industry,"Combine artificial intelligence with data analysis and machine learning IoT, and it is easy to provide proactive care to patients. Hence, it would be a good move to invest in analytical solutions that can control and mitigate clinical and financial risks, with new payment bundles and models to go with it."
Challenges and Opportunities of Big Data in Healthcare,"In a nutshell, we can conclude that while big data is a disruptive technology which will bring about landmark changes in healthcare dynamics, the challenges and vulnerabilities need to be addressed with the utmost care and sense of responsibility."
Obstacles to data-driven Healthcare,"The only way to overcome these challenges is to layout stronger data governance laws, ensure government regulations that do not allow providers to create barriers to exit for the patients and incentivize healthcare providers to adopt digital transformation strategies. The Health Insurance Portability and Accountability Act (HIPAA) is a step in the right direction to protect Patient Health Information (PHI) and mandates providers to set up a compliant infrastructure for threats against security. However, we still have a long way to go before the fears of both the health care providers and patients with electronic modes of capturing data are assuaged and we have better capabilities for capturing relevant data giving the much-needed impetus to analytics in healthcare."
MONETIZATION OF DATA – INNOVATE TO HARVEST THE FULL VALUE OF DATA,"The business of data monetization is likely to evolve
quickly. Payments providers would be well advised to begin planning their
strategy without delay: first-mover advantage may determine future success. A
“start small, scale fast” approach allows for flexibility, learning, and course
correction as the business develops. Partnerships with complementary players in
payments and in the digital and start-up ecosystem could be a winning factor.
How much value could be created is difficult to estimate at this early stage,
but experience in some use cases and markets suggests it could amount to
between 5 and 10 percent of revenues."
Traceability of information – Master your data capital,"We currently work towards reducing the verification problem to a refinement check for real-time systems. After preparing the verification backend, we plan to address the requirements specification at the level of model-based systems engineering, and the derivation of verifiable properties within the next year. Finally, we intend to carry out the final integration of systems engineering and software design in order to establish the desired traceability solution. Our evaluation strategy enables us to carry out a stepwise, incremental validation of our contributions."
Bank Risk Management in India,Technology has to take a central role in risk management to bring operational efficiency. The organization needs to break silos and work as a single unit to discover insights where it needs to improve. Some examples can be:
Advance Analytics for Refocusing Profits,"Taking the first step is the most difficult point for the firm. The firm can take one of the two most common practice approaches. Firstly, firms can create a detailed road map. Then invest in the required capabilities and makes necessary organizational changes accordingly. Secondly, Learning by doing, rapidly creating and prioritizing a long list of use cases specific to the firm. The second case has a higher chance of success for the firm."
Role of big data & analytics in banking and finance,"In spite of tightening regulations, there are financial frauds in companies. As mentioned previously the list of defaulters in the last five years has increased drastically. Tracking the spending patterns of an individual can help to develop stringent regulations for high spending individuals and vice-versa."
Mitigating Bank risk management,"To cope with the above risks, banks need to put more robust and reliable risk management in place. By the end of this decade, or even earlier, the active approach of the financial institutions in handling the risk functions will determine its success or failure. They need a have proactive approach in identifying, assessing and mitigating risk through better IT infrastructure, machine intelligence, better resources allocation/mapping, real-time analytics, and internal control frameworks. However, one can bet that the future will belong to those who will have a go-ahead approach in identifying, assessing and putting effective risk minimization plan to actions."
The Future of Bank Risk Management,"Over the years, banks have been provided with several regulations to create failsafe measures to avoid these risks. However, as banks advance and are trying to get more competitive, it has become imperative that the risks also differs. Banks must become more cautious and adopt new practical methods different from their rudimentary ways to counter them. A good risk management system is one that can support the bank’s abilities to react to short term risk all the while circumventing itself from long term risk that may occur sooner or later. Such efficiency is important because it can devise new operations and talent models to better cover risk without doing irredeemable damage. But it’s not just the system that needs to be efficient but the role professional plays is equally important. There is a need to have better decision-making capabilities that balance the gains with the losses incurred. All in all, a good risk management technique is one that can sense the disruption in technology and can adapt itself in a reliable system to minimize damage both in the short term and in the long term."
How advanced analytics are redefining banking?,
Marketing Analytics – Why do we care about it?,"In the realm of marketing, primary research has traditionally focused on quantitative or qualitative methodologies to provide customer insights. With advances in technology, especially data mining, marketing analytics has become an invaluable tool and should be viewed as an equal component of the marketing research toolkit. Analytics requires marketers to use data to understand customers at every touch point throughout their lifecycle with the business. To do this the analyst must mine, analyze, interpret, and present the information so that it is converted into actionable intelligence. In this process, the customer’s information DNA is tracked, segmented, modeled and then acted upon. As these concepts and tools become standard operating procedures, marketing departments must internalize analytics into their overall curriculum in order to provide Company with a compelling competitive advantage."
Big Data & Analytics to Bring Transparency and Good Governance,"
"
How Political Leaders will Shape Tomorrow using Big Data & Analytics,"
"
Big Data and Analytics to Help form Political Leaders Win Election,"
"
The Emergence of Data Analytics,"Advanced analytics refers to a variety of statistical methods that are used to compute likelihoods for an event occurring. Machine Learning, Artificial Intelligence, Data Integration, Statistical Analysis can solve problems way beyond we can think of. Popular software to launch an analytic solution is R, Python, Java, SPSS, etc. The zoo of analytics methods is extremely rich. However, as data does not come out of some industrial package, human judgment is crucial in order to understand the performance and possible pitfalls and alternatives to a solution."
How Artificial Intelligence can deliver real value to companies?,****
The Prospective Recipe of Success in the Age of Analytics,***
Using People Analytics To Drive Business Performance,"Also according to a recent study by professional network LinkedIn, Analytics specialists are in high demand for HR roles as an increasing number of companies are turning to analytics in the past 5 years. So, all these things indicate that people analytics is a very useful tool to drive business performance."
How Artificial Intelligence can deliver real value to companies?,"One of the most profound impacts of Artificial Intelligence has been in the field of Human Resources, both in Human Resource Management and the Hiring Processes. AI has been successful in predicting candidate attributes thus making the hiring process more efficient. This ensures that the company onboard the best company-match candidates and reduce the future inefficiencies and lag-ings. AI-powered hiring saves a ton of recruiter hours thus saving time and money. Besides this AI has the capability to achieve resource optimization to achieve maximum efficiency and productivity. AI also helps in predicting capabilities of employees to map the Learning path for them. This will be in-line with the bigger company strategies and will assist in developing future Leadership."
Big Data Analytics through IoT in Oil and Gas Industry,[4]https://www.cognizant.com/services-resources/Services/iot_oilfield_services_sensors.pdf
How big data and analytics is shaping tomorrow for marketing leaders?,"Though several technologies have sprung up in the past before becoming irrelevant, predictive analytics doesn’t seem like yet another one of those. Judging by how essential it has become to all scales of business, predictive analytics is here to stay for a very long time! Investing in them and building an organization centered around analytics would be a wise decision."
What Analytics & IT Outsourcing engagement model is right for you?,The key takeaway is selecting a proper engagement model and ensuring that your tactical and strategic plans are shared with your partner will help you set up a solid foundation for further innovation. There is no need to stop at one or another level—continue evolving through engagement models over time to receive more value from long-lasting and fruitful partnerships.
How Big Data & Analytics is solving problems in the Banking and Finance Industry, 
Analytics in Healthcare Industry,"As we move forward in 2018, organizations will have to analyze much more complex and high-volume data. With the development of customized, highly efficient data analytics practices, organizations can make sense of the data and use it for providing efficient personalized care. Data integrity is bound to become the most important factor as the effectiveness of data analysis methods are dependent on the incorporation of error-free, relevant data from quality sources."
Business Analytics in Textile Industry (Raymond Ltd.),Analytics that could be employed to tackle the problems could include:
From Utopia to Reality: Marketing and the Big Data Revolution,"Online fashion stores are working towards automated personalized clothing without any human intervention so that they can offer better choices to each buyer, amongst the millions of clothes in their online wardrobe. In the near future, Big Data may be able to make insightful applications and technology customized to your needs because it will learn from and about you beforehand. It has come a long way and it has a long way to go changing everything imaginable into a reality."
Understanding the Millennial Market,"So, now we understand the millennial audience well and can strategize our marketing plans keeping in mind the characteristics of different micro markets and their pain points. The marketing communication across all the media platforms should take into account the audiences as defined above to effectively communicate with their customers and make the brand resonate with their lifestyle and need."
How big data & analytics is helping fashion e-tailers to capture markets in developing countries?,"In conclusion, analytics and big data in fashion e-tailer industry can be a game changer for any organization because of its ability to provide a major competitive advantage over others. Data is growing exponentially and analytics provides a tool for the industry to organize it and make sense of the emerging patterns that come up. Analytics in conjunction with other technologies is shifting the way industry operates and bringing in real-time solutions to ease the pressure and reduce the operations expenditure. It is the need of the hour and we are seeing its presence and the effect it brings to the fashion e-tailer industry."
How can Big Data & Analytics change the healthcare sector in developing countries?,"A large number of these conceivable outcomes are as of now being actualized, however, a few potential outcomes are somewhat more remote off. In any case, it seems promising to consider that the collection of tremendous amounts of information can and will profoundly affect lives spared and enhanced by medical technology."
Big Data & Analytics to Help Voters Know Their Political Leaders,"Big Data Analytics could be used by rating agencies which could actually launch ratings for politicians and this could be used by the general public in determining how good the leader is. Once the ecosystem is in setup it could be sponsored by the leader itself wherein the party or the leader would want to rate the previous results and personality which if quantified could substantiate their claims in the current scenario. Obviously, the second model would have to be properly audited else it would lose out the credibility. Even the government led organizations could actually keep a track of the election manifestoes of the leaders and then keep a real-time track of the progress of the key developments relating to the subjects in the set agenda."
Digital Transformation in Oil and Gas, 
Data Analytics as a Tool to Reduce the Cost of Production in Oil & Gas,"Over the coming years, the industry will be defined by those who will take advantage of digital and analytics to evolve. Investing in these will help digital to deliver better efficiency and productivity, for the brighter future of the industry."
Are Initial Big Data Efforts Focused on Gaining Insights from Existing Sources of Internal Data in Retail Industry?,"With these new capabilities, managers can quickly respond to marketplace demands and address business challenges. Having real-time and granular visibility into store-level sell-through and inventory data enables optimized replenishment and merchandising practices, while supply chain transparency promotes lower-cost logistics. The solution can be positioned the company for competitive advantage by helping boost sales and lower operational costs."
Role of Big Data in Cyber Security: A Shotgun Against Rising Cyber Security Attacks?,
Role of Big Data in Healthcare,
"Data Driven Dashboards, Foundation and Application in Industry","As a rule of thumb, operational dashboards require data in real-time or near real-time, whereas executive/strategic dashboards require data refreshed on a less frequent basis."
Role of Big Data in Academia,"Like other sectors like healthcare, retail, capital market, energy and many more, academia sees the potential of big data. To harness this potential, academics face a threefold challenge: generate teams with varied expertise, work on very focused yet meaningful research problems, while taking ethical questions into account. Many such efforts are appearing in academia, and we are, hopefully, to expect a great breakthrough in the near future."
Statistical Methods for Sales Forecasting in Retail Industry,"Sales forecasting is a real-world problem in fashion retailing. From the perspective on applications and implementation, various issues are identified."
Behavior Based Chi-Square model to Detect Data-Exfiltration over the Network,"Fig. 2: Superimposed Chi-Square values of outgoing Bytes of live data (abnormal profile data) and Threshold_1, Threshold_2 and Threshold_3 of learned data (normal profile data) for user type 1, 2 and 3 respectively."
What is Data Exfiltration?,"The closer the capacity is to the rate at which the operation or transmission is executed, the more covert the transmission will be. Covertness is thus proportional to the difference between capacity and the actual rate used:"
Impacts of COVID 19 on Food products,"The state has recently announced a stimulus package of INR 5000 crore for nearly 50 lakh vendors, acknowledging the grave impact of their loss of livelihood. The intended relief for vendors will be a credit loan that will provide an initial working capital of INR 10,000 for all vendors, but this is not sufficient. Instead of credit, the government should think of converting it into direct income benefit, a cash grant, as livelihood support to start the income activity regularly. The vendors need income support to be able to restart work, and if they are not able to do so, how will they return the loan. In the face of the ever-changing crisis, vendor organizations have to step forward and advocate for vendors to be provided the resources they need to be able to resume their livelihoods. To this end, vendors organizations could consider the following for an advocacy agenda:"
